Title,Price,Location,Link
House For Sale,PKR11.00 Crore,No Location,https://www.realproperty.pk/property/1-kanal-house-for-sale-in-gulberg-residencia-block-e-islamabad-71681.html
House For Sale,PKR24.00 Crore,No Location,https://www.realproperty.pk/property/40x120-house-for-sale-in-f-8-1-71670.html
House For Sale,PKR8.00 Crore,No Location,https://www.realproperty.pk/property/kanal-house-for-sale-71645.html
House For Sale,PKR3.60 Crore,No Location,https://www.realproperty.pk/property/house-for-sale-e-11-4-islamabad-3-crore-70-lac-71570.html
House For Sale,Call For Price,No Location,https://www.realproperty.pk/property/house-for-sale-in-islamabad-g-8-2-71296.html
House For Sale,PKR4.80 Crore,No Location,https://www.realproperty.pk/property/house-for-sale-in-islamabad-g-8-2-71295.html
House For Sale,PKR1.18 Crore,No Location,https://www.realproperty.pk/property/grey-structure-house-for-sale-71151.html
House For Sale,PKR6.50 Crore,No Location,https://www.realproperty.pk/property/bahria-enclave-sector-c-golden-1-kanal-gray-structher-for-sell-71037.html
House For Sale,PKR16.00 Crore,No Location,https://www.realproperty.pk/property/double-story-5-marla-house-for-sale-71030.html
House For Sale,PKR16.00 Crore,No Location,https://www.realproperty.pk/property/5-marla-house-for-sale-71029.html
House For Sale,PKR1.25 Crore,No Location,https://www.realproperty.pk/property/5-5-marla-house-for-sale-in-bhara-kahu-islamabad-70995.html
House For Sale,PKR1.25 Crore,No Location,https://www.realproperty.pk/property/5-5-marla-house-for-sale-in-bhara-kahu-islamabad-70994.html
House For Sale,PKR70.00 Lac,No Location,https://www.realproperty.pk/property/3-marla-full-furnished-house-for-sale-in-islamabad-bhara-kahu-70992.html
House For Sale,PKR90.00 Lac,No Location,https://www.realproperty.pk/property/5-marla-house-for-sale-in-islamabad-70965.html
House For Sale,PKR5.10 Crore,No Location,https://www.realproperty.pk/property/single-story-house-for-sale-70931.html
House For Sale,PKR5.20 Crore,No Location,https://www.realproperty.pk/property/1-kanal-house-for-urgent-sale-70930.html
House For Sale,PKR26.00 Lac,No Location,https://www.realproperty.pk/property/house-and-plots-70864.html
